Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
9.54,1.26,5.11,-0.12,-0.0,-0.01
9.52,1.25,5.23,-0.12,-0.0,-0.02
9.51,1.26,5.12,-0.12,-0.0,-0.02
9.54,1.26,5.18,-0.13,-0.0,-0.02
9.49,1.27,5.1,-0.13,0.0,-0.02
9.53,1.29,5.16,-0.13,0.0,-0.03
9.55,1.32,5.17,-0.14,0.01,-0.03
9.54,1.3,5.07,-0.13,-0.01,-0.02
9.51,1.28,5.05,-0.13,-0.01,-0.03
9.59,1.32,5.12,-0.15,-0.01,-0.03
9.55,1.36,5.03,-0.14,-0.01,-0.03
9.54,1.53,5.17,-0.12,-0.02,-0.01
9.49,1.35,5.04,-0.07,-0.03,0.02
9.65,0.76,5.04,-0.11,0.01,-0.02
9.48,1.37,5.03,-0.19,0.0,-0.04
9.56,1.38,5.1,-0.21,-0.01,-0.02
9.54,1.48,5.11,-0.14,-0.02,-0.02
9.52,1.39,5.09,-0.08,0.01,-0.01
9.48,1.29,5.04,-0.09,-0.0,-0.0
9.52,1.28,5.15,-0.12,0.02,-0.0
9.57,1.37,5.12,-0.11,0.01,-0.0
9.53,1.44,5.13,-0.09,0.01,0.01
9.51,1.46,5.1,-0.05,0.01,0.02
9.5,1.35,5.05,-0.03,0.02,0.04
9.53,1.23,5.15,-0.03,0.02,0.03
9.55,1.16,5.14,-0.06,0.0,0.02
9.53,1.19,5.05,-0.1,0.01,0.01
9.54,1.19,5.11,-0.14,0.01,0.0
9.53,1.2,5.07,-0.16,-0.01,-0.01
9.51,1.29,5.13,-0.17,-0.01,-0.01
9.53,1.33,5.14,-0.15,0.01,-0.0
9.52,1.33,5.15,-0.11,0.02,0.01
9.51,1.27,5.16,-0.09,0.03,0.02
9.47,1.26,5.13,-0.06,0.03,0.03
9.52,1.16,5.15,-0.07,0.05,0.03
9.48,1.24,5.17,-0.05,0.04,0.04
9.48,1.17,5.2,-0.08,0.06,0.04
9.58,1.14,5.2,-0.09,0.04,0.05
9.52,1.11,5.12,-0.14,-0.0,0.05
9.38,0.6,5.44,-0.3,0.0,0.01
9.27,1.58,4.28,-0.15,-0.09,-0.12
9.04,2.17,3.65,0.04,0.12,-0.25
8.98,1.47,2.88,0.29,0.39,-0.21
9.04,0.82,3.69,0.28,0.39,-0.09
8.27,1.63,3.51,0.26,0.24,0.1
7.53,0.23,3.79,-0.38,0.09,-0.05
6.99,0.28,3.98,-1.04,0.5,-0.53
9.14,1.5,5.71,-1.14,0.44,-0.41
8.51,2.4,4.34,-1.15,0.12,-0.55
9.39,3.3,5.22,-1.08,0.33,-0.26
8.85,3.52,5.54,-0.67,0.24,-0.28
9.53,2.61,5.81,-0.94,0.22,-0.4
9.59,3.65,5.24,-0.98,0.11,-0.63
7.54,4.42,4.51,-0.64,-0.12,-0.69
2.81,-0.31,6.15,-1.23,0.19,-0.31
2.63,2.88,3.0,-0.29,1.01,1.34
2.96,-0.64,11.57,-0.48,2.36,1.28
5.78,-3.14,19.6,1.53,4.37,3.69
6.61,-0.65,10.54,0.7,2.94,1.28
6.13,-5.09,9.11,-0.71,4.15,0.95
7.58,1.64,10.65,-0.61,3.68,0.18
3.57,2.33,8.62,-0.29,3.35,1.56
-0.67,-1.89,9.22,0.68,3.25,1.54
-8.1,-1.93,10.98,-1.41,2.98,-0.4
-3.89,-2.72,8.82,-0.64,2.15,-1.31
-5.39,3.57,5.86,-1.73,0.82,-0.49
-6.86,-0.84,9.26,-0.16,-0.48,0.36
-8.28,-5.16,9.16,1.07,-1.18,0.73
-7.49,-8.53,7.41,-0.15,-0.52,-0.38
-6.23,-0.06,9.93,-0.33,-0.91,0.17
-4.87,-2.44,7.81,0.65,-0.56,0.74
-6.29,-2.24,9.45,0.59,-0.87,0.82
-2.94,-1.53,11.7,0.35,-0.22,0.93
-3.93,-2.29,9.28,-0.69,-1.35,0.54
-7.46,-1.31,8.32,-0.09,-0.7,-0.19
-1.81,2.81,11.44,0.1,0.06,0.44
-0.7,1.34,9.82,0.33,-0.76,0.34
-5.34,-2.52,11.1,-0.06,-0.78,0.1
-3.91,-1.51,16.17,0.01,0.86,-0.03
-4.76,1.82,11.2,0.49,2.14,0.26
-5.18,1.03,10.83,-0.14,0.44,-0.21
-3.66,0.01,11.09,-0.61,-1.31,-0.23
-2.44,-0.3,10.27,-0.5,-1.83,-0.34
-2.42,0.74,9.6,-0.23,-0.49,-0.13
-1.95,0.49,10.32,-0.16,-0.25,-0.09
-1.66,-0.03,10.73,-0.03,-0.08,0.03
-2.28,0.07,11.15,-0.03,-0.15,0.02
-1.33,-0.21,9.89,-0.12,-0.04,-0.0
-2.2,0.32,11.68,0.16,0.04,0.1
-2.06,-0.19,11.6,0.02,-0.21,0.09
-1.96,0.72,10.64,-0.11,-0.19,0.13
-2.06,1.17,10.5,-0.05,-0.07,0.16
-2.18,0.96,10.57,0.03,0.02,0.16
-1.85,0.48,10.78,0.09,0.07,0.08
-1.95,0.61,11.36,-0.01,0.13,0.07
-1.69,0.96,10.87,-0.19,0.12,0.04
-2.14,0.49,10.53,-0.24,-0.0,0.02
-2.36,0.19,10.73,-0.35,-0.08,-0.08
-3.17,0.85,11.41,-0.37,0.19,-0.18
-2.6,0.05,11.25,-0.42,0.27,-0.24
-2.97,0.6,11.11,-0.27,0.4,-0.09
-2.82,0.14,10.54,-0.21,0.3,-0.1
-3.02,-0.53,9.94,-0.17,0.39,-0.07
-3.08,-0.52,9.93,-0.24,0.38,-0.04
-2.5,-0.33,9.73,-0.31,0.32,-0.09
