Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.48,-0.74,0.15,-0.09,0.04,-0.0
10.49,-0.73,0.22,-0.09,0.05,-0.0
10.54,-0.74,0.27,-0.08,0.04,-0.0
10.5,-0.72,0.3,-0.06,0.04,-0.0
10.51,-0.77,0.4,-0.04,0.05,0.0
10.5,-0.9,0.37,-0.06,0.02,-0.0
10.53,-0.79,0.32,-0.1,-0.01,0.0
10.51,-0.7,0.35,-0.1,0.0,-0.01
10.55,-0.81,0.34,-0.09,-0.01,-0.01
10.52,-0.76,0.32,-0.09,0.02,-0.01
10.56,-0.79,0.42,-0.09,0.02,-0.02
10.57,-0.76,0.31,-0.11,-0.01,-0.02
10.51,-0.72,0.32,-0.1,-0.02,-0.03
10.55,-0.69,0.36,-0.1,-0.01,-0.02
10.51,-0.76,0.42,-0.09,-0.04,-0.01
10.51,-0.75,0.37,-0.09,-0.03,-0.0
10.47,-0.71,0.38,-0.1,-0.02,-0.02
10.48,-0.71,0.36,-0.1,-0.01,-0.03
10.49,-0.68,0.32,-0.09,0.0,-0.04
10.52,-0.72,0.28,-0.09,0.0,-0.04
10.57,-0.67,0.3,-0.07,0.02,-0.03
10.55,-0.67,0.44,-0.06,0.02,-0.02
10.52,-0.71,0.41,-0.06,-0.0,-0.02
10.54,-0.73,0.42,-0.08,-0.03,-0.01
10.56,-0.78,0.47,-0.11,-0.04,0.0
10.47,-0.74,0.4,-0.11,-0.04,0.0
10.48,-0.85,0.36,-0.14,-0.03,0.0
10.5,-0.87,0.4,-0.21,-0.02,0.0
10.44,-0.96,0.54,-0.29,-0.01,0.0
10.43,-1.07,0.4,-0.33,0.01,-0.04
10.49,-1.04,0.14,-0.32,-0.03,-0.05
10.44,-1.23,-0.23,-0.35,-0.02,-0.05
10.51,-1.18,-0.33,-0.35,0.03,-0.02
10.38,-1.55,-0.15,-0.48,0.06,0.02
10.32,-1.7,-0.15,-0.7,0.04,0.04
10.23,-1.42,-0.3,-0.84,0.1,0.05
10.21,-1.47,-0.41,-0.91,0.13,0.06
10.28,-1.87,-0.44,-1.01,0.15,0.09
10.19,-2.03,-0.41,-1.1,0.2,0.12
10.55,-2.5,-0.13,-1.19,0.28,0.23
11.17,-2.53,-0.19,-1.22,0.2,0.33
11.08,-2.72,-0.49,-1.25,0.07,0.4
10.83,-0.99,1.15,-1.1,0.36,0.16
10.9,0.42,2.02,-1.01,0.27,-0.11
10.95,-0.23,0.93,-1.17,0.18,-0.17
11.23,-0.42,-0.09,-1.25,0.05,-0.36
8.73,0.39,-0.12,-0.89,0.09,-0.42
8.88,-0.35,0.05,-0.58,0.5,-0.28
10.25,-0.01,-0.41,-0.4,0.21,-0.22
9.55,-0.15,-1.16,-0.2,-0.02,-0.18
9.03,0.32,-0.94,0.05,0.05,-0.21
10.69,-1.6,-0.53,-0.11,0.41,-0.06
14.99,-0.96,-1.13,-0.64,0.25,0.07
13.44,-0.48,-2.8,-0.87,-0.09,-0.13
11.28,1.1,0.59,-0.57,0.7,-0.25
8.53,2.97,6.99,0.16,0.97,-0.04
11.83,-1.48,3.59,-0.04,0.05,0.08
9.01,-0.21,1.78,-0.24,-0.39,0.3
8.0,0.74,1.59,0.02,0.06,0.57
8.93,-1.9,0.6,-0.14,-0.05,0.66
8.2,-1.89,0.32,-0.17,-0.23,0.39
9.36,-1.2,-0.49,0.11,-0.03,0.05
12.37,-0.15,-0.14,0.79,-0.24,-0.15
14.31,-4.79,-1.91,0.74,-0.44,0.85
11.85,-1.48,5.65,0.39,1.05,0.36
8.32,-1.37,7.2,-0.23,0.26,0.28
13.94,-0.93,2.97,0.29,0.5,0.01
8.37,-3.09,2.12,-0.05,-0.05,-0.86
4.47,0.23,1.3,0.47,0.06,-1.08
5.34,0.33,0.62,1.15,0.47,-0.95
6.25,-0.06,-0.38,1.23,0.12,-0.43
9.41,-2.0,-0.62,1.2,-0.23,-0.1
9.95,-1.53,0.28,0.77,-0.16,-0.06
10.0,-1.49,1.72,-0.29,0.51,0.0
4.48,-0.34,1.71,-0.07,0.5,0.16
11.18,9.85,7.34,2.68,3.35,0.26
6.62,-1.75,7.07,2.04,-2.59,0.09
3.51,-0.69,0.15,1.42,0.51,0.92
8.56,-0.31,0.19,1.89,-0.22,0.42
8.71,-1.63,6.15,1.89,-0.09,0.22
