Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
7.85,1.67,7.71,-0.38,-0.03,-0.22
7.97,1.28,7.65,-0.37,-0.08,-0.18
7.92,1.15,7.62,-0.31,-0.06,-0.12
7.85,1.38,7.61,-0.28,0.0,-0.13
7.99,1.37,7.61,-0.2,0.02,-0.11
7.9,1.13,7.65,-0.16,0.02,-0.08
8.26,0.38,7.78,-0.44,-0.1,-0.18
8.24,-0.58,8.0,-0.84,-0.25,-0.32
8.04,1.1,8.05,-1.02,0.03,-0.59
7.96,-0.91,6.35,-0.57,-0.06,-0.51
9.12,-1.84,6.61,-0.21,0.04,-0.33
8.61,-1.93,6.48,-0.43,-0.27,-0.43
8.31,-2.28,6.11,-0.68,-0.27,-0.58
9.08,-1.63,6.2,-0.63,-0.05,-0.74
7.52,-3.37,5.77,-0.82,-0.26,-1.03
7.07,-0.89,8.93,-1.25,-0.24,-0.87
13.07,8.2,8.56,-1.36,-0.78,-1.05
11.52,1.12,10.45,-1.3,0.64,-0.85
10.65,10.93,5.83,0.01,-0.18,-0.61
5.53,-0.34,4.11,-0.04,0.55,-0.68
5.51,3.85,4.68,-0.35,1.21,0.12
5.65,-1.94,4.54,-0.24,0.23,0.27
5.54,1.15,2.8,-0.74,-0.2,-0.15
11.22,3.06,5.74,-0.2,-0.24,0.27
12.65,0.25,5.75,-0.02,-1.1,-0.05
7.65,13.58,10.08,1.49,1.25,0.0
3.28,1.83,14.64,0.49,-0.91,0.22
12.32,4.28,14.18,0.15,0.7,-0.09
5.04,3.61,9.17,0.1,0.53,1.05
8.41,-0.22,5.98,0.42,0.73,1.44
3.93,-1.03,2.76,0.89,-0.27,1.31
3.04,-0.38,2.4,0.72,0.16,0.86
11.76,-1.16,6.11,0.83,-1.36,0.19
7.86,1.43,3.85,0.31,-1.43,-0.02
10.75,-2.16,20.01,-1.28,-0.16,-0.23
7.99,6.76,17.35,0.49,-0.82,0.39
11.32,-2.02,11.25,-0.23,0.14,-0.28
5.61,1.41,5.53,0.2,0.05,-2.27
3.17,2.23,1.91,-0.8,-0.06,-2.04
5.32,0.84,4.82,-1.67,-0.17,-1.59
7.39,4.3,1.86,-1.33,-1.23,-0.55
6.94,2.26,5.26,-1.04,-1.45,-0.28
9.9,7.4,1.37,0.12,0.46,0.07
13.22,-1.23,16.2,-0.1,-0.43,-1.29
4.98,0.21,11.9,-1.09,-1.37,-1.65
14.52,5.55,14.15,-1.76,0.36,-1.46
7.46,4.14,7.58,-1.27,-0.46,0.6
5.05,-1.19,3.17,-1.01,0.39,0.17
2.71,-0.52,2.5,-0.81,0.37,-0.31
6.91,2.39,3.51,-0.45,-0.04,-0.45
11.45,-0.98,5.58,0.2,-1.42,-0.2
12.41,-0.05,2.45,-0.45,-1.62,-0.25
10.19,-0.5,11.49,-1.16,-0.69,-0.48
12.18,8.15,7.97,-0.97,-0.52,-0.11
12.55,-0.29,12.94,-0.65,-0.59,-0.72
7.05,3.14,9.22,-1.5,0.28,-2.31
4.17,2.92,5.51,-2.26,0.14,-2.86
3.27,1.95,3.99,-2.0,-0.6,-2.18
2.66,2.38,-0.35,-1.83,-0.68,-1.62
8.52,2.48,1.8,-1.78,-0.96,-0.88
12.35,5.26,7.09,-1.46,-1.64,-1.12
13.85,5.48,12.95,-2.0,0.31,-0.22
16.88,4.53,15.77,-0.38,-0.69,-0.62
2.22,-4.56,10.76,-3.13,-0.48,-0.46
10.04,3.56,12.6,-2.75,-0.27,-0.87
5.15,2.22,7.63,-1.83,-0.09,-0.49
5.24,-1.89,4.12,-1.96,0.63,-0.59
2.9,0.94,1.53,-1.85,0.36,-1.04
4.92,0.07,1.59,-1.18,-0.31,-1.27
5.7,-1.08,1.38,-0.96,-1.28,-0.97
15.37,-1.07,7.7,-1.0,-1.03,-0.04
21.73,1.27,14.18,0.02,-0.63,-0.04
13.52,-10.9,13.62,-1.18,0.48,-0.36
1.74,7.52,11.41,0.33,-0.79,-0.96
12.14,0.06,10.47,-0.28,1.27,-0.34
7.06,-0.94,8.04,-0.26,-0.34,-1.48
0.98,1.97,1.36,0.19,0.98,-1.75
4.67,3.37,0.93,0.91,0.1,-0.86
3.51,-2.11,2.83,0.55,-0.18,-0.79
10.32,2.72,7.07,-0.43,-1.45,-0.68
12.22,7.49,13.23,-1.46,-1.54,-0.14
21.19,13.32,18.37,-0.07,0.91,-0.08
-0.22,-0.69,8.14,-1.64,-1.65,0.16
10.91,2.36,9.13,-2.51,2.28,-0.46
4.35,4.81,3.29,-0.89,-0.72,0.49
0.5,-4.09,0.04,-1.14,0.69,0.29
5.66,2.5,3.5,-0.88,0.38,0.09
5.54,0.07,4.84,-0.31,-0.71,0.18
13.01,-0.39,8.2,-0.22,-0.67,0.29
16.91,2.68,13.24,0.37,-0.32,-0.39
18.09,-4.39,11.6,-0.88,0.44,0.07
-0.83,10.66,9.65,2.12,-0.76,-0.63
11.83,-1.53,12.97,0.28,1.26,0.41
5.17,0.19,5.82,0.59,-0.43,-0.92
-0.15,1.89,0.78,0.45,0.7,-0.95
3.35,2.1,2.85,0.48,0.91,0.07
4.52,2.21,2.25,0.45,-0.4,0.67
10.7,3.68,5.96,0.94,-1.23,0.45
10.01,5.14,13.34,-0.45,-0.06,0.67
19.42,6.5,23.31,0.19,0.22,0.22
-0.29,2.65,6.48,-1.48,-0.4,0.43
12.04,0.99,11.92,-1.9,0.56,0.0
3.38,1.7,3.78,-1.04,-0.52,0.29
1.49,-1.04,1.7,-1.17,0.73,-0.07
4.05,0.36,3.64,-0.88,0.25,-0.16
6.17,1.71,4.9,-0.44,-0.62,-0.12
9.39,0.13,6.56,-0.52,-1.02,0.38
16.18,-0.22,9.72,0.09,-0.45,-0.22
18.62,-6.11,17.42,-1.02,0.41,-0.73
1.67,11.01,8.92,2.19,-1.25,-0.27
13.69,0.37,9.73,0.48,1.47,0.6
5.57,-0.68,6.89,1.27,-0.43,-0.57
0.27,2.54,1.29,0.92,0.66,-0.6
3.45,0.95,3.3,0.77,0.45,-0.09
4.06,1.84,2.88,0.33,0.4,0.16
11.2,3.9,6.58,0.03,-0.83,-0.09
14.53,3.91,9.04,-0.42,-0.56,0.01
6.17,9.58,14.48,0.06,0.67,0.64
8.88,-4.45,14.42,-0.75,-1.57,0.07
7.82,3.19,6.74,-2.79,1.05,0.17
10.62,5.48,8.89,-0.98,-0.63,-0.01
0.99,0.25,2.66,-0.97,0.13,0.59
3.59,-0.73,2.83,-1.07,1.15,0.23
3.63,0.85,4.88,-0.8,-0.07,0.34
7.91,-0.23,7.0,-0.69,-0.24,0.66
15.5,-0.4,7.91,0.3,-0.42,0.04
7.01,0.31,18.16,-0.2,0.13,-0.52
7.71,6.64,14.09,0.41,-0.25,-0.13
6.09,1.36,8.03,1.68,0.74,-0.0
10.98,1.87,11.46,1.17,0.02,0.07
2.31,2.11,3.42,1.69,0.23,0.07
2.46,0.76,3.41,1.49,0.76,-0.02
4.09,1.14,3.59,1.18,0.29,0.32
6.28,3.05,5.34,0.83,0.08,0.38
13.97,6.95,9.6,0.16,0.24,0.6
14.49,8.04,9.1,1.14,-0.16,0.96
3.6,3.0,8.04,0.33,0.91,1.06
14.8,7.52,13.57,0.49,0.72,1.44
8.66,0.38,4.7,0.41,-0.44,1.68
7.01,6.87,9.45,0.65,0.12,0.93
4.12,-1.1,7.25,0.11,1.18,1.58
5.65,1.03,4.24,0.21,0.64,1.61
1.54,-0.6,0.34,0.13,0.39,1.19
9.0,-0.41,4.92,0.2,-0.3,0.98
13.8,4.65,7.92,0.26,-1.3,0.91
8.3,0.87,16.02,-0.18,-0.05,-0.32
12.01,6.31,17.45,-0.26,-0.51,0.24
5.15,0.86,9.47,2.37,0.85,0.4
9.76,0.52,12.87,1.8,0.32,0.22
2.29,0.33,4.09,1.69,0.95,-0.23
2.03,2.25,1.41,1.05,0.71,0.04
2.05,-1.73,1.29,0.64,0.55,0.29
4.44,2.05,2.33,0.51,0.3,0.15
12.12,5.58,7.21,0.78,-1.03,0.95
16.09,1.9,10.47,0.33,-0.66,0.13
8.29,9.22,13.47,-0.36,1.34,0.14
12.7,2.32,17.12,0.72,-0.89,0.43
3.38,1.82,3.73,-1.38,-0.08,1.21
11.1,5.24,9.82,-0.13,0.04,1.09
-0.23,-0.22,3.91,0.21,0.36,1.32
4.68,-0.52,5.62,-0.16,1.05,1.18
1.83,2.16,3.12,0.45,-0.11,1.19
5.05,-1.75,5.14,-0.17,-0.12,1.03
13.98,-1.64,8.53,-0.35,-0.96,0.85
14.18,5.09,11.32,0.65,-0.63,0.3
17.47,0.73,16.38,0.18,0.6,1.05
-0.49,3.52,6.4,2.46,-0.27,0.53
10.61,2.96,10.71,1.57,1.36,1.33
6.44,1.81,8.57,2.43,-0.19,1.08
2.15,0.89,3.96,2.12,1.1,0.94
2.64,1.53,2.97,2.02,1.17,1.19
3.66,-1.53,2.45,1.62,0.62,1.31
5.87,2.49,4.64,1.09,0.09,0.87
14.72,9.63,7.66,1.6,-0.56,0.52
13.13,5.88,12.49,0.84,0.43,0.74
15.41,9.03,17.77,0.04,0.55,0.4
1.59,-0.74,9.86,-1.3,-0.06,0.64
10.87,3.95,12.26,-1.3,0.34,0.34
3.19,0.76,3.34,-0.67,0.39,0.69
3.88,0.35,1.97,-0.69,0.72,0.6
4.37,1.29,2.24,-0.35,-0.44,0.51
4.22,0.56,3.34,-0.12,-0.63,0.77
11.92,-1.79,8.04,0.15,-1.09,0.62
9.39,3.83,17.2,0.76,-0.33,-0.01
17.95,2.78,14.46,0.51,0.12,0.62
-0.12,2.86,5.71,2.78,-0.64,0.28
12.22,2.28,12.02,0.82,1.45,0.34
4.24,0.74,4.84,1.69,-0.19,-0.18
1.58,1.76,0.95,0.75,0.89,-0.05
4.21,0.3,1.82,0.56,0.57,0.61
3.83,1.34,2.43,0.72,-0.64,0.49
11.6,3.64,6.8,0.37,-0.9,0.14
16.05,11.04,9.72,0.26,-0.65,0.15
10.28,2.31,14.32,-0.36,0.51,0.02
13.08,3.86,11.53,-0.64,-0.7,-0.15
2.66,1.98,5.54,-1.79,-0.26,0.13
11.58,3.96,10.96,-1.1,0.1,-0.02
2.97,0.51,3.98,-1.06,0.15,0.38
1.48,-0.98,2.64,-1.25,1.03,0.18
4.38,1.64,4.27,-0.8,0.58,0.2
7.94,1.98,6.84,0.53,-0.36,0.77
14.32,-0.49,9.73,0.62,-0.14,0.52
11.12,-0.7,10.34,0.1,-0.32,0.18
19.2,-5.68,13.83,-1.16,1.01,-0.48
-0.77,6.42,8.41,1.2,-0.96,-0.74
11.07,-0.41,9.89,-0.26,1.53,-0.29
7.25,2.94,5.91,1.16,-0.71,-0.79
0.17,3.16,0.34,1.35,1.01,-0.65
5.88,1.3,4.7,1.27,0.67,-0.0
4.89,2.34,4.94,1.17,-0.49,0.4
12.67,6.33,6.99,0.49,-1.34,0.36
10.93,4.91,7.44,0.32,0.04,0.19
11.03,11.1,18.48,0.06,1.07,0.46
3.45,-1.53,11.43,-1.59,-1.22,0.25
8.51,2.95,8.99,-2.52,1.49,-0.37
8.16,0.35,7.11,-1.55,-0.56,-0.04
-0.94,0.81,1.52,-1.38,0.69,-0.31
4.57,0.14,4.49,-1.27,0.84,-0.0
6.33,-0.3,6.93,-0.73,-0.94,-0.17
9.57,-1.0,7.31,-0.41,-0.58,0.14
15.71,-0.56,10.39,-0.6,-0.53,-0.32
8.12,2.62,11.91,-0.01,-0.41,0.13
15.29,-4.24,7.34,-0.3,0.58,0.12
5.17,4.08,6.11,1.56,-0.54,-0.69
9.64,-0.25,11.78,0.66,0.38,-0.45
0.91,2.88,3.05,1.43,0.21,-0.74
5.0,1.59,4.17,0.75,1.04,-0.24
3.38,-0.09,3.04,0.51,-0.04,-0.31
6.14,4.39,3.88,0.43,-0.22,-0.05
11.39,6.8,6.11,0.55,-0.78,0.4
13.9,2.14,11.49,-0.41,-0.43,0.25
12.04,14.61,17.4,-0.01,1.0,0.32
4.57,-2.51,8.67,-0.99,-0.69,0.24
9.54,5.7,8.45,-2.1,1.67,0.04
