Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
1.22,-0.32,-9.2,-0.12,-0.0,-0.01
1.2,-0.45,-9.21,-0.12,-0.0,-0.01
1.18,-0.33,-9.16,-0.12,-0.01,-0.01
1.21,-0.35,-9.2,-0.12,-0.0,-0.01
1.19,-0.45,-9.19,-0.12,-0.01,-0.01
1.19,-0.31,-9.17,-0.12,-0.0,-0.01
1.23,-0.37,-9.19,-0.12,-0.0,-0.01
1.19,-0.42,-9.2,-0.12,-0.01,-0.01
1.19,-0.3,-9.16,-0.12,-0.0,-0.01
1.21,-0.4,-9.19,-0.12,-0.0,-0.01
1.18,-0.4,-9.21,-0.12,-0.01,-0.01
1.21,-0.32,-9.2,-0.12,-0.0,-0.01
1.22,-0.42,-9.18,-0.12,-0.0,-0.01
1.18,-0.4,-9.19,-0.12,-0.01,-0.01
1.19,-0.33,-9.17,-0.12,-0.0,-0.01
1.23,-0.4,-9.19,-0.12,-0.0,-0.01
1.19,-0.35,-9.18,-0.12,-0.01,-0.01
1.2,-0.32,-9.2,-0.12,-0.0,-0.01
1.17,-0.43,-9.17,-0.12,-0.0,-0.01
1.18,-0.36,-9.2,-0.12,-0.0,-0.01
1.21,-0.35,-9.19,-0.12,-0.0,-0.01
1.19,-0.41,-9.21,-0.12,-0.0,-0.01
1.2,-0.35,-9.18,-0.12,-0.01,-0.01
1.18,-0.35,-9.19,-0.12,-0.0,-0.01
1.18,-0.4,-9.19,-0.12,-0.0,-0.01
1.19,-0.34,-9.2,-0.12,-0.0,-0.01
1.2,-0.38,-9.21,-0.12,-0.0,-0.01
1.19,-0.42,-9.2,-0.12,-0.0,-0.01
1.16,-0.33,-9.18,-0.12,-0.01,-0.01
1.2,-0.38,-9.19,-0.12,-0.0,-0.01
1.17,-0.4,-9.18,-0.12,-0.01,-0.01
1.19,-0.33,-9.18,-0.12,-0.0,-0.01
1.2,-0.39,-9.17,-0.12,-0.0,-0.01
1.16,-0.39,-9.19,-0.12,-0.01,-0.01
1.19,-0.35,-9.22,-0.12,-0.0,-0.01
1.19,-0.4,-9.19,-0.12,-0.0,-0.01
1.2,-0.37,-9.2,-0.12,-0.0,-0.01
1.18,-0.34,-9.22,-0.12,-0.0,-0.01
1.2,-0.39,-9.16,-0.12,-0.0,-0.01
1.18,-0.37,-9.19,-0.12,-0.0,-0.01
1.19,-0.35,-9.17,-0.12,-0.0,-0.01
1.19,-0.39,-9.18,-0.12,-0.0,-0.01
1.19,-0.35,-9.16,-0.12,-0.01,-0.01
1.21,-0.37,-9.18,-0.12,-0.0,-0.01
1.21,-0.42,-9.22,-0.12,-0.0,-0.01
1.18,-0.33,-9.2,-0.12,-0.0,-0.01
1.21,-0.38,-9.21,-0.12,-0.0,-0.01
