Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
9.89,0.77,-2.95,0.14,0.27,0.0
9.95,0.35,-3.04,0.11,0.25,-0.01
9.28,0.68,-3.23,0.1,0.22,-0.06
9.12,0.54,-3.22,0.1,0.23,-0.17
9.66,0.62,-3.42,0.05,0.2,-0.21
10.04,1.12,-4.25,0.11,-0.09,-0.24
9.25,0.45,-3.86,0.07,-0.16,-0.19
11.15,0.0,-3.04,-0.03,0.09,0.25
8.94,0.66,-3.06,-0.23,-0.08,0.46
9.91,0.57,-3.27,-0.11,-0.23,0.26
10.19,0.9,-2.12,0.12,-0.25,0.09
10.35,0.0,-3.16,0.04,-0.23,0.01
10.61,-0.23,-1.77,-0.25,-0.14,-0.26
8.44,0.91,-2.36,-0.18,0.08,-0.29
10.51,1.76,-3.58,-0.17,0.15,-0.27
9.14,1.35,-3.05,-0.18,-0.11,-0.28
9.48,1.5,-2.42,-0.12,0.19,-0.38
9.96,1.05,-3.19,-0.18,0.15,-0.13
9.08,1.16,-3.22,-0.14,0.03,-0.03
9.21,0.66,-3.32,-0.17,0.09,0.04
9.21,1.13,-3.36,-0.33,0.12,0.18
9.44,1.22,-3.75,-0.56,0.02,0.34
8.54,1.74,-3.47,-0.61,-0.02,0.49
9.26,2.73,-3.32,-0.45,0.1,0.4
10.17,3.23,-3.01,-0.4,0.16,0.35
10.2,2.79,-3.11,-0.52,0.04,0.28
12.89,1.19,-3.08,-0.59,-0.18,-0.02
10.13,1.08,-3.29,-0.39,-0.17,-0.35
10.33,-0.31,-0.43,-0.89,0.1,0.49
10.18,-4.41,-1.84,-1.06,-0.15,0.58
9.48,0.95,-2.34,-0.75,0.15,0.25
10.08,-0.17,-2.43,-0.57,-0.15,0.26
9.54,-1.34,-1.23,-0.44,-0.04,0.19
8.84,1.14,-1.42,-0.15,0.09,-0.15
10.06,1.39,-2.04,0.24,-0.06,-0.68
8.56,0.2,-1.36,0.3,-0.09,-1.11
12.15,0.97,-1.14,0.51,0.12,-0.97
13.58,-1.01,-1.96,-0.1,0.67,-0.02
8.11,2.86,-2.54,0.28,0.08,-0.45
7.73,0.8,-3.01,0.49,0.27,-0.53
8.59,2.87,-3.99,0.14,0.14,-0.22
11.43,3.02,-2.85,0.24,0.1,0.05
8.5,2.43,-2.41,0.25,0.05,0.03
9.23,3.08,-3.39,0.19,0.14,-0.03
8.45,3.14,-3.3,0.1,-0.16,0.1
14.43,3.49,-1.84,0.01,0.65,-0.3
9.61,-0.09,-1.35,0.27,-0.74,-0.01
9.57,0.21,-0.78,-0.51,0.38,0.73
9.85,-1.71,-2.48,-0.36,-0.25,0.46
10.55,0.11,-1.0,0.03,0.05,0.48
10.47,-0.51,-1.79,0.04,0.2,0.43
9.73,-0.89,-2.4,-0.04,0.3,0.15
8.35,1.65,-2.28,-0.15,0.2,0.15
9.92,1.47,-3.6,0.21,-0.02,-0.21
9.85,-0.9,-2.45,0.22,-0.22,-0.54
11.85,0.07,-1.74,-0.03,0.23,-0.45
9.55,1.92,-0.53,0.25,-0.06,-0.15
9.34,-0.96,-1.13,0.47,0.29,-0.23
10.05,0.37,-2.07,0.45,0.05,-0.01
10.65,0.98,-1.39,0.19,0.06,0.03
10.94,0.45,-1.28,-0.04,0.16,0.07
10.27,1.57,-1.67,0.16,0.07,-0.23
9.65,0.38,-1.06,0.19,0.07,-0.13
10.63,0.94,-1.48,0.11,0.16,-0.04
10.63,0.51,-1.23,0.01,0.04,-0.08
10.43,0.83,-1.26,-0.11,0.05,-0.09
10.17,0.9,-1.41,-0.18,0.04,-0.07
10.2,0.81,-1.29,-0.21,0.07,-0.01
10.31,1.15,-1.36,-0.21,0.06,0.0
10.31,1.08,-1.29,-0.15,0.07,-0.03
10.19,1.08,-1.34,-0.12,0.05,-0.05
10.21,1.13,-1.37,-0.1,0.04,-0.04
10.13,0.81,-1.52,-0.11,0.03,-0.01
10.19,1.02,-1.58,-0.16,0.04,-0.02
10.23,0.77,-1.97,-0.22,0.01,-0.01
9.98,1.2,-1.64,-0.23,0.02,-0.01
10.06,1.15,-1.6,-0.2,0.09,-0.03
10.16,1.29,-1.6,-0.2,0.1,-0.03
10.43,0.55,-1.62,-0.3,0.17,-0.03
10.39,1.45,-1.23,-0.35,-0.02,-0.07
10.07,0.94,-1.19,-0.38,0.15,0.01
10.78,0.22,-0.86,-0.37,-0.01,-0.06
10.08,1.42,-0.32,-0.33,-0.0,0.05
10.6,0.4,0.2,-0.22,-0.1,0.04
10.92,0.54,-0.09,-0.24,0.04,0.18
11.1,0.08,0.08,-0.51,-0.14,0.16
11.59,0.91,0.14,-0.69,-0.28,0.17
10.37,1.53,-0.32,-0.6,-0.42,0.08
8.9,2.47,-1.33,0.01,-0.18,-0.06
10.59,0.78,-1.78,0.25,-0.08,-0.2
10.48,0.61,-1.66,0.08,-0.12,-0.13
9.51,1.61,-1.9,0.08,-0.07,-0.16
9.45,1.58,-2.0,0.2,0.07,-0.13
10.28,0.54,-1.48,0.1,0.05,-0.02
10.45,1.26,-1.48,-0.12,0.03,0.04
9.73,1.23,-1.49,-0.23,0.0,0.07
10.18,0.13,-1.46,-0.59,0.04,0.28
10.51,0.6,-1.17,-0.98,-0.03,0.45
10.43,-0.14,-1.26,-1.38,-0.12,0.57
10.44,-0.18,-1.15,-1.82,-0.25,0.74
10.37,-0.98,-1.14,-2.17,-0.47,0.98
10.86,-0.75,-0.3,-2.35,-0.44,1.13
10.96,0.42,0.9,-2.23,-0.06,0.93
10.88,-2.7,-1.26,-2.53,-0.07,0.86
9.11,2.5,-2.44,-2.32,0.12,0.43
11.72,1.05,-4.02,-1.95,-0.35,0.48
9.18,-0.37,-2.33,-1.77,-0.47,0.69
9.33,0.68,-2.57,-1.42,-0.5,0.47
9.18,-0.68,-2.11,-1.26,-0.33,0.35
9.93,-1.21,-1.71,-1.36,-0.13,0.33
10.03,-1.25,-2.36,-1.49,0.02,0.3
10.02,-0.47,-2.5,-1.42,-0.09,0.16
9.1,-0.12,-3.01,-1.43,0.09,0.09
9.33,0.26,-3.47,-1.38,0.03,0.09
9.59,2.01,-4.35,-0.93,-0.1,0.01
8.49,1.07,-5.34,-0.6,-0.26,-0.2
9.28,-0.85,-5.67,-0.66,-0.37,-0.17
10.96,-3.1,-1.19,-1.38,-0.14,1.04
12.72,-2.32,-2.79,-2.03,0.43,0.54
8.93,0.85,-0.37,-2.43,-0.89,0.01
10.01,1.79,0.32,-2.71,0.39,0.15
10.87,4.75,-2.08,-2.3,-0.67,0.02
7.65,2.05,-1.22,-1.72,-0.36,0.21
9.29,2.95,-2.6,-1.0,-0.14,0.17
10.1,0.79,-2.98,-0.79,-0.17,0.21
9.46,1.24,-2.92,-1.01,-0.38,0.23
9.41,2.6,-3.07,-0.76,-0.21,0.06
9.11,1.48,-2.85,-0.82,-0.21,0.38
9.29,2.52,-3.59,-0.62,-0.06,0.38
8.83,3.21,-4.78,-0.41,-0.43,0.31
8.55,0.34,-6.08,-0.12,-0.72,0.5
12.33,4.95,-4.57,0.13,0.32,-0.26
12.23,-0.11,-3.0,0.46,-0.63,-0.59
5.81,1.22,0.53,-0.32,-0.07,0.6
11.24,0.6,-3.16,-1.27,0.32,0.41
10.87,1.27,-1.76,-0.87,-0.26,0.61
8.48,1.25,-2.01,-0.93,-0.21,0.96
8.68,0.29,-2.43,-0.71,-0.11,0.91
8.69,0.47,-2.99,-0.75,-0.09,0.56
8.66,0.58,-3.28,-0.73,-0.0,0.38
8.46,0.53,-4.43,-0.54,0.1,0.03
9.65,-1.26,-5.26,-0.27,-0.29,-0.26
11.08,-1.46,-2.69,-0.78,-0.14,-0.0
18.17,1.71,-5.58,-0.31,-0.11,0.89
7.04,-0.81,0.6,-0.36,-0.65,0.64
8.03,3.69,-0.37,0.33,0.39,-0.65
11.56,0.96,-3.61,0.37,-0.24,-0.25
7.25,-1.07,-2.14,-0.17,0.25,-0.33
9.05,1.57,-3.4,-0.31,-0.0,-0.48
8.15,1.72,-3.79,-0.07,0.1,-0.25
7.24,1.48,-3.99,0.2,-0.23,0.06
7.89,0.56,-5.01,0.12,-0.01,0.32
10.42,1.74,-4.41,-0.18,-0.16,0.49
12.14,2.22,-8.94,-0.15,-0.09,-0.25
14.12,-0.14,-6.54,-0.89,-0.34,-0.6
7.86,6.1,2.37,-0.56,0.32,-0.13
11.44,-3.94,-0.62,-1.68,0.04,0.61
10.81,4.24,-2.49,-0.67,0.02,0.49
7.3,2.68,-2.31,0.12,0.14,0.46
7.61,-0.79,-3.54,0.34,0.39,0.25
8.15,0.29,-3.72,0.18,0.2,0.01
7.77,0.05,-3.33,0.32,0.42,-0.2
10.12,1.75,-5.37,0.8,-0.2,-0.52
11.31,-1.99,-2.5,0.33,-0.42,-0.23
15.62,4.97,-3.7,1.45,0.16,-0.24
10.18,1.13,-0.32,1.91,-0.32,-0.42
9.08,2.06,-2.43,1.91,0.24,-1.47
10.41,-0.24,-2.03,1.13,0.37,-1.01
5.84,1.36,-0.91,0.97,0.34,-0.86
8.21,3.19,-2.24,1.24,0.76,-0.72
10.25,2.42,-3.97,1.39,0.35,-0.44
7.87,0.76,-3.99,1.22,0.06,-0.23
9.12,0.1,-5.18,0.56,0.27,0.21
10.2,4.32,-3.17,0.63,0.43,-0.17
17.72,1.91,-3.34,-0.07,0.18,-1.01
4.99,3.3,-2.01,0.09,-0.99,-0.55
12.45,-0.3,-0.36,-0.54,0.34,-0.1
10.71,-1.0,-2.73,-0.97,-0.17,-0.12
9.88,5.62,-2.44,-0.17,-0.11,0.2
7.64,-0.04,-2.33,0.19,-0.02,0.44
7.83,-0.17,-3.16,0.09,0.22,0.21
8.77,0.17,-3.46,-0.11,-0.12,-0.01
7.84,0.13,-3.87,-0.28,-0.33,-0.02
7.46,1.28,-5.39,-0.12,-0.23,-0.11
9.38,0.62,-3.77,0.15,-0.32,-0.15
12.88,0.15,-9.56,0.02,0.15,0.11
15.02,1.07,-5.54,0.32,-0.9,0.7
5.98,-0.76,-0.42,0.5,0.01,-0.22
10.96,5.8,-1.38,1.72,0.75,-0.93
9.56,-2.53,-2.38,1.05,0.2,-0.64
7.57,-0.42,-2.43,0.43,0.43,-0.7
7.14,3.58,-2.53,0.52,0.61,-0.69
10.19,2.54,-4.32,0.94,0.37,-0.3
6.83,0.52,-3.92,1.25,0.08,-0.16
9.38,0.79,-4.17,1.07,0.12,0.14
13.46,0.23,-6.14,0.7,0.13,0.05
10.93,1.94,-5.46,0.07,-0.65,-0.66
8.8,5.87,-0.19,0.44,-0.72,-0.63
