Accelerometer: x-axis (g)_Mean,Accelerometer: x-axis (g)_StandardDeviation,Accelerometer: x-axis (g)_RootMeanSquare,Accelerometer: x-axis (g)_MaximalAmplitude,Accelerometer: x-axis (g)_MinimalAmplitude,Accelerometer: x-axis (g)_Median,Accelerometer: x-axis (g)_Number of zero-crossing,Accelerometer: x-axis (g)_Skewness,Accelerometer: x-axis (g)_Kurtosis,Accelerometer: x-axis (g)_First Quartile,Accelerometer: x-axis (g)_Third Quartile,Accelerometer: x-axis (g)_Autocorrelation,Accelerometer: y-axis (g)_Mean,Accelerometer: y-axis (g)_StandardDeviation,Accelerometer: y-axis (g)_RootMeanSquare,Accelerometer: y-axis (g)_MaximalAmplitude,Accelerometer: y-axis (g)_MinimalAmplitude,Accelerometer: y-axis (g)_Median,Accelerometer: y-axis (g)_Number of zero-crossing,Accelerometer: y-axis (g)_Skewness,Accelerometer: y-axis (g)_Kurtosis,Accelerometer: y-axis (g)_First Quartile,Accelerometer: y-axis (g)_Third Quartile,Accelerometer: y-axis (g)_Autocorrelation,Accelerometer: z-axis (g)_Mean,Accelerometer: z-axis (g)_StandardDeviation,Accelerometer: z-axis (g)_RootMeanSquare,Accelerometer: z-axis (g)_MaximalAmplitude,Accelerometer: z-axis (g)_MinimalAmplitude,Accelerometer: z-axis (g)_Median,Accelerometer: z-axis (g)_Number of zero-crossing,Accelerometer: z-axis (g)_Skewness,Accelerometer: z-axis (g)_Kurtosis,Accelerometer: z-axis (g)_First Quartile,Accelerometer: z-axis (g)_Third Quartile,Accelerometer: z-axis (g)_Autocorrelation,Gyroscope: x-axis (rad/s)_Mean,Gyroscope: x-axis (rad/s)_StandardDeviation,Gyroscope: x-axis (rad/s)_RootMeanSquare,Gyroscope: x-axis (rad/s)_MaximalAmplitude,Gyroscope: x-axis (rad/s)_MinimalAmplitude,Gyroscope: x-axis (rad/s)_Median,Gyroscope: x-axis (rad/s)_Number of zero-crossing,Gyroscope: x-axis (rad/s)_Skewness,Gyroscope: x-axis (rad/s)_Kurtosis,Gyroscope: x-axis (rad/s)_First Quartile,Gyroscope: x-axis (rad/s)_Third Quartile,Gyroscope: x-axis (rad/s)_Autocorrelation,Gyroscope: y-axis (rad/s)_Mean,Gyroscope: y-axis (rad/s)_StandardDeviation,Gyroscope: y-axis (rad/s)_RootMeanSquare,Gyroscope: y-axis (rad/s)_MaximalAmplitude,Gyroscope: y-axis (rad/s)_MinimalAmplitude,Gyroscope: y-axis (rad/s)_Median,Gyroscope: y-axis (rad/s)_Number of zero-crossing,Gyroscope: y-axis (rad/s)_Skewness,Gyroscope: y-axis (rad/s)_Kurtosis,Gyroscope: y-axis (rad/s)_First Quartile,Gyroscope: y-axis (rad/s)_Third Quartile,Gyroscope: y-axis (rad/s)_Autocorrelation,Gyroscope: z-axis (rad/s)_Mean,Gyroscope: z-axis (rad/s)_StandardDeviation,Gyroscope: z-axis (rad/s)_RootMeanSquare,Gyroscope: z-axis (rad/s)_MaximalAmplitude,Gyroscope: z-axis (rad/s)_MinimalAmplitude,Gyroscope: z-axis (rad/s)_Median,Gyroscope: z-axis (rad/s)_Number of zero-crossing,Gyroscope: z-axis (rad/s)_Skewness,Gyroscope: z-axis (rad/s)_Kurtosis,Gyroscope: z-axis (rad/s)_First Quartile,Gyroscope: z-axis (rad/s)_Third Quartile,Gyroscope: z-axis (rad/s)_Autocorrelation
8.579833333333335,6.305284950385316,10.647542361189895,26.080000,0.1,7.1899999999999995,6,0.7199194368816474,0.07262042326033757,5.175,12.145,1994.2340000000002,0.7358333333333332,2.865546656205215,2.9585145484403714,9.960000,0.21,0.78,37,0.6464134148678747,2.2083764098395244,-1.05,2.3,8.8896,-5.7795,5.128721876192287,7.726992191877337,19.030000,0.03,-6.175000000000001,12,-0.14899439634643863,-0.13682552250401514,-8.219999999999999,-1.2349999999999999,809.0701,-0.8541666666666666,0.7877992376798095,1.1619932587297281,3.360000,0.01,-0.665,4,-1.3282818079193741,1.3871376359366936,-1.27,-0.30000000000000004,21.1361,-0.026333333333333344,1.0189700137339122,1.0193102242856849,3.750000,0.03,0.13,28,0.7385685623852065,3.158873720608905,-0.735,0.46499999999999997,-0.07030000000000003,0.4693333333333334,0.8121450335719327,0.9380049751111841,3.050000,0.0,0.315,21,0.7279399471791279,0.2843329201823508,-0.12,1.025,4.7093
9.3385,7.624723126120711,12.055869317473546,26.080000,0.1,8.27,6,0.38344692410783726,-1.0549713613969407,2.005,15.61,2259.1330000000003,0.48633333333333334,3.6571591737607245,3.689354053670281,9.960000,0.14,0.3,40,0.3150681454244204,-0.008570374097965683,-2.51,2.8200000000000003,3.907799999999989,-4.7785,6.723924901672633,8.248953165907375,19.030000,0.03,-3.205,23,-0.1963860625235222,-1.1006782377378548,-11.105,0.37,378.0338,-0.6218333333333332,0.9976029465117316,1.1755374657293292,3.360000,0.02,-0.545,17,-0.7073560405756029,0.10710001992627527,-1.27,0.09,3.8682,-0.12833333333333333,1.063992742247594,1.0717042502481735,3.060000,0.0,-0.26,35,0.23495157262555463,0.23092484095495402,-0.885,0.75,-0.3676000000000002,0.3551666666666667,0.9737410533036434,1.0364916786930805,3.050000,0.01,0.315,18,0.2749580454748415,-0.4047155533999067,-0.4,1.1400000000000001,0.40270000000000006
8.804833333333333,7.798198401269074,11.761674554812902,27.900000,0.31,5.970000000000001,4,0.6532249390071789,-0.7290314569644685,2.115,14.844999999999999,2034.1398000000006,0.6148333333333333,4.863367314823022,4.902077280772576,14.610000,0.05,0.345,37,0.05610583500158175,0.7765717854155199,-2.875,3.855,-11.818900000000003,-4.488666666666666,7.115901785594165,8.413333861595335,17.740000,0.09,-1.805,26,-0.33493544639665684,-1.2477785755899806,-11.205,0.8600000000000001,286.40270000000004,-0.12133333333333333,0.753382299293585,0.7630902087346334,2.160000,0.03,-0.15000000000000002,26,-0.35127253901940847,0.32996618882169493,-0.565,0.41500000000000004,-0.1675000000000001,-0.03616666666666667,1.1828934745877255,1.1834462387451319,3.410000,0.0,-0.325,35,0.7638640683529102,0.33232756220863635,-0.89,0.76,0.06850000000000048,-0.00233333333333333,0.7664906319642066,0.7664941834960872,1.570000,0.0,0.055,27,-0.08044328983328361,-0.800890352778036,-0.585,0.58,0.32769999999999994
8.730666666666666,7.751592710892101,11.675261453175258,28.220000,0.43,5.875,2,1.0299409542842966,0.14354380942427314,2.735,12.33,2226.6928000000003,0.8851666666666668,4.917102294260535,4.996140010047756,14.610000,0.05,0.7350000000000001,33,0.2176271490608325,1.0134306433256919,-1.93,3.2800000000000002,4.564699999999989,-4.8791666666666655,6.791856960524288,8.362750046087312,17.740000,0.09,-3.5700000000000003,21,-0.4471208277610662,-1.0956410374476706,-9.365,0.91,352.07219999999995,0.6255000000000001,1.2469127542320941,1.3950059737028606,3.280000,0.02,0.45499999999999996,12,0.1459986047782579,-0.6229365535813112,-0.30000000000000004,1.66,-3.4605000000000006,-0.029333333333333326,1.0903208498215355,1.0907153615861471,3.410000,0.05,-0.16499999999999998,32,0.9115412220587971,1.2250890996820711,-0.74,0.54,-0.7852,-0.5486666666666669,0.9683413080566629,1.1129779872037002,3.250000,0.0,-0.53,17,-0.5863713524388617,0.22513178700243008,-1.02,0.18,1.2163
8.973333333333334,8.094651045941113,12.084870155143026,29.500000,0.05,7.3149999999999995,10,0.9352091520117998,0.2173338239453737,2.2350000000000003,13.115,2075.5956,0.7925000000000001,3.6425360327661824,3.7277506622627,11.340000,0.07,0.8200000000000001,38,0.3539281383292298,0.36265620337110205,-1.93,3.18,21.0846,-4.382,6.523263702575063,7.8584281719268345,18.810000,0.16,-3.875,20,-0.5181391123872799,-0.8727464688178461,-9.365,1.605,363.6597999999999,0.8184999999999999,1.0677746719228736,1.345393994337718,3.280000,0.02,0.65,12,0.383021635819779,-0.6866343834300292,0.065,1.66,2.4438000000000004,-0.11716666666666667,0.8831932436084163,0.8909311608274418,2.190000,0.05,-0.095,33,-0.15431513595814375,-0.16659518254780714,-0.645,0.52,0.5401,-0.72,0.9668195281436964,1.205462566818232,3.250000,0.08,-0.6799999999999999,7,-0.05759717456219987,0.29550526910770714,-1.195,-0.295,5.8725000000000005
8.973666666666666,8.162218033244532,12.13047800652005,29.500000,0.05,8.375,13,0.726539652489218,-0.115993167282888,2.1550000000000002,14.350000000000001,2038.8790999999997,0.6440000000000001,3.9238370676333307,3.9763341576549287,9.290000,0.07,1.3599999999999999,44,-0.2259468266787554,-0.6845039482308599,-2.81,3.425,6.314500000000007,-4.710999999999999,7.053159032187871,8.481778901464795,18.810000,0.16,-1.625,17,-0.40053429981940547,-1.281920959015326,-11.594999999999999,1.425,370.62879999999996,-0.003999999999999996,0.6862584547141599,0.6862701120307271,2.040000,0.01,-0.08,22,-0.11849397762333234,0.057175266552029314,-0.515,0.48,-0.16099999999999962,-0.12683333333333333,0.908536353458438,0.9173467174411208,2.090000,0.01,-0.1,36,-0.06947986477539714,-0.41427411729704877,-0.7250000000000001,0.475,0.043199999999999995,-0.23566666666666672,0.8426236144065485,0.8749590466606614,1.630000,0.0,-0.41000000000000003,14,0.41179131660328955,-0.826140811468548,-1.02,0.475,1.4636999999999991
8.222500000000002,7.52917605607236,11.148901216412915,26.530000,0.11,7.25,12,0.7664941073021714,0.06434161633154067,2.5599999999999996,12.504999999999999,1816.1691999999998,0.5340000000000003,4.200862689178656,4.234666850335849,9.950000,0.09,0.72,42,-0.039868284080514585,-0.37547315204527765,-2.4050000000000002,3.835,-0.8835999999999946,-4.975666666666667,7.20717544457528,8.757889966576803,22.500000,0.03,-1.235,17,-0.42807341325331577,-1.1834192913384853,-11.524999999999999,0.915,379.669,-0.1005,0.720491556739795,0.7274670668376221,2.070000,0.01,-0.09,23,-0.3864761149973638,1.1796874007342426,-0.42,0.25,0.029700000000000008,-0.13833333333333334,0.853912889129929,0.8650452781983917,2.310000,0.01,-0.2,34,0.301542835264819,0.03203288914757696,-0.69,0.36,0.12610000000000002,-0.0475,0.724165324126105,0.7257214800918232,1.570000,0.0,0.005,17,0.015921802342490788,-0.7667027376471061,-0.645,0.51,0.5562000000000001
8.673833333333334,7.489518028922526,11.45985449296805,26.530000,0.15,7.48,11,0.6609999551520715,-0.2918452932862299,2.87,12.81,1942.201,0.9501666666666667,3.7509223273157173,3.869397239881167,9.950000,0.02,0.18,39,0.20153533062863946,0.21308641573013754,-1.545,2.955,-0.5233000000000003,-5.1431666666666676,6.8289719801413415,8.549094786389182,22.500000,0.01,-2.705,17,-0.3911660484163243,-1.0516542084862164,-11.365,0.7749999999999999,452.7241,0.213,0.8703300140368212,0.8960152528463639,2.310000,0.01,0.29500000000000004,18,-0.6654017968498972,0.7017107219957133,-0.30500000000000005,0.745,-0.3175,-0.10166666666666667,0.9236127735991722,0.9291914047528994,3.110000,0.01,-0.33,38,1.102923669680202,1.9274817660690218,-0.71,0.45999999999999996,-0.5900000000000002,-0.26733333333333337,0.7917635730163111,0.8356773699620366,2.080000,0.0,-0.08499999999999999,22,-0.2940982461463131,-0.9487381137618085,-0.9650000000000001,0.29000000000000004,0.5641
8.829666666666666,7.039552771463698,11.292400837141171,25.260000,0.15,7.01,6,0.7284216618757069,-0.4438532533691477,3.075,12.65,2039.1666,1.2459999999999998,3.2225001680889536,3.4549997588036576,11.120000,0.02,0.8049999999999999,31,0.858969069197226,0.8272601662987458,-0.72,2.9050000000000002,25.686999999999998,-5.113500000000001,6.364210300579326,8.164009737867783,20.320000,0.01,-4.23,17,-0.6161033624524945,-0.6079868601092726,-9.395,0.185,512.6026999999999,0.7204999999999999,0.9335584698703485,1.179258948096925,2.710000,0.01,0.755,7,-0.5099089556580393,1.044560145924967,0.275,1.345,12.677999999999999,-0.003166666666666675,0.9520740371537406,0.9520793034196255,3.110000,0.01,-0.085,40,0.6271714180856957,0.9694609566228216,-0.605,0.585,0.24100000000000069,-0.7059999999999998,0.8342665441372239,1.092902862411233,2.180000,0.01,-0.835,22,0.12494793617762931,-1.0039919024097776,-1.3250000000000002,-0.03,13.6937
8.586333333333332,7.287473948876632,11.261989019114992,25.050000,0.35,6.720000000000001,6,0.7557118235641318,-0.5074356224838428,2.685,12.465,2086.6634,0.9520000000000002,3.1053860736898184,3.2480342773232347,11.120000,0.02,0.9199999999999999,29,0.11354991492179868,3.1228564070250497,-0.45999999999999996,2.37,14.896800000000002,-4.994000000000001,6.599335370575838,8.275944860457525,21.100000,0.05,-4.23,18,-0.9037626109458196,-0.03447112878046177,-8.25,0.91,435.5995,0.7096666666666667,0.9681993022559399,1.2004318667324134,2.710000,0.0,0.865,6,0.092444373664591,-0.7804220755141111,-0.09,1.4249999999999998,0.4945,-0.15933333333333335,0.8615197166764219,0.8761297468602086,2.530000,0.01,-0.24,31,0.4853335572671698,0.4259635363605625,-0.88,0.405,0.6943,-0.7098333333333333,0.8748647355766236,1.1266106988071196,2.180000,0.05,-0.795,14,0.16050241764454307,-0.880335912086244,-1.315,-0.09,9.1346
