Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.55,0.36,-0.42,-0.01,0.03,-0.0
10.42,0.27,-0.4,0.03,0.03,-0.01
10.47,0.18,-0.28,0.03,0.08,0.0
10.39,0.08,-0.21,0.02,0.1,-0.01
10.53,0.13,-0.11,0.0,0.12,-0.01
10.52,0.15,-0.16,-0.02,0.1,-0.01
10.49,0.05,0.01,-0.04,0.1,-0.01
10.56,0.07,0.1,-0.07,0.09,-0.02
10.54,-0.06,0.12,-0.15,0.04,-0.01
10.47,0.02,0.06,-0.22,0.06,-0.01
10.58,0.08,0.11,-0.24,0.05,-0.0
10.58,0.07,0.08,-0.24,0.01,0.0
10.47,0.16,0.05,-0.21,0.02,-0.0
10.6,0.16,0.1,-0.18,0.03,0.0
10.54,0.21,-0.0,-0.14,-0.01,-0.0
10.49,0.07,-0.06,-0.13,-0.01,0.0
10.58,0.19,-0.02,-0.1,-0.02,-0.01
10.51,0.15,-0.04,-0.07,-0.04,-0.01
10.48,0.14,-0.07,-0.04,-0.01,0.0
10.59,0.15,0.04,-0.01,-0.02,-0.0
10.5,0.07,0.03,-0.01,-0.03,0.0
10.48,-0.03,0.02,-0.03,-0.02,0.01
10.5,-0.02,0.08,-0.05,-0.03,-0.0
10.58,0.03,0.07,-0.07,-0.04,-0.0
10.51,-0.05,-0.02,-0.1,-0.05,0.01
10.44,-0.04,-0.02,-0.12,-0.04,0.0
10.54,-0.11,0.0,-0.15,-0.0,0.01
10.45,-0.08,0.03,-0.17,-0.01,0.01
10.52,-0.18,-0.02,-0.19,0.04,0.01
10.51,-0.11,-0.07,-0.22,0.01,0.0
10.47,-0.07,-0.13,-0.22,0.02,0.0
10.48,0.02,-0.22,-0.22,0.03,-0.01
10.5,0.07,-0.15,-0.21,0.04,0.0
10.42,0.03,-0.17,-0.19,0.04,0.0
10.59,0.05,-0.08,-0.18,0.07,0.02
10.38,-0.07,-0.06,-0.15,0.07,0.01
10.64,-0.08,0.1,-0.15,0.09,0.02
10.56,-0.07,0.17,-0.15,0.06,0.02
10.47,-0.01,0.17,-0.12,0.09,0.03
10.52,-0.08,0.32,-0.13,0.14,0.03
10.49,-0.23,0.48,-0.15,0.16,0.03
10.6,-0.1,0.62,-0.19,0.17,0.02
10.52,-0.12,0.51,-0.17,0.14,0.02
10.57,-0.06,0.56,-0.16,0.16,0.02
10.58,-0.12,0.74,-0.14,0.15,0.02
10.57,-0.17,0.75,-0.13,0.14,0.02
10.62,-0.21,0.76,-0.15,0.12,0.02
10.52,-0.21,0.85,-0.16,0.13,0.05
10.7,-0.26,0.92,-0.17,0.1,0.05
10.42,-0.28,0.89,-0.17,0.09,0.06
10.59,-0.4,0.87,-0.18,0.15,0.05
10.59,-0.41,0.97,-0.16,0.15,0.06
10.75,-0.44,1.04,-0.11,0.08,0.05
10.47,-0.57,1.09,-0.08,0.04,0.03
10.62,-0.78,1.26,-0.17,0.04,0.04
10.46,-0.58,1.36,-0.27,0.04,0.06
10.6,-0.53,1.51,-0.26,0.04,0.06
10.53,-0.54,1.5,-0.21,-0.01,0.03
10.52,-0.56,1.47,-0.22,-0.02,0.03
10.48,-0.56,1.42,-0.24,-0.01,0.05
10.48,-0.62,1.45,-0.22,-0.01,0.04
10.59,-0.65,1.47,-0.2,-0.01,0.01
10.59,-0.41,1.34,-0.19,-0.02,0.0
10.49,-0.68,1.3,-0.17,-0.04,0.0
10.54,-0.52,1.31,-0.17,-0.03,-0.0
10.58,-0.57,1.33,-0.16,-0.03,-0.01
10.54,-0.58,1.26,-0.13,-0.04,-0.02
10.54,-0.57,1.24,-0.12,-0.04,-0.03
10.52,-0.59,1.17,-0.12,-0.04,-0.02
10.57,-0.62,1.16,-0.11,-0.02,-0.03
10.52,-0.63,1.13,-0.11,-0.02,-0.03
10.55,-0.61,1.08,-0.1,-0.05,-0.04
10.5,-0.56,1.03,-0.13,-0.06,-0.03
10.48,-0.59,0.99,-0.14,-0.03,-0.02
10.65,-0.49,0.96,-0.11,0.0,-0.03
10.56,-0.57,0.96,-0.11,-0.03,-0.02
10.56,-0.51,0.93,-0.11,-0.03,-0.03
10.57,-0.55,0.97,-0.12,-0.02,-0.02
10.51,-0.55,0.88,-0.11,-0.02,-0.01
10.53,-0.61,1.04,-0.12,-0.0,-0.01
10.49,-0.89,0.96,-0.18,0.0,0.0
10.4,-1.28,1.29,-0.42,0.08,0.07
10.46,-0.97,0.99,-0.54,0.06,0.05
