Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.07,-1.87,3.49,-0.16,0.06,-0.02
10.04,-1.88,3.53,-0.17,0.05,-0.03
10.07,-1.81,3.46,-0.19,0.04,-0.03
10.12,-1.87,3.44,-0.18,0.05,-0.03
10.08,-1.76,3.45,-0.17,0.02,-0.02
10.1,-1.78,3.48,-0.14,0.02,-0.03
10.05,-1.78,3.51,-0.1,0.01,-0.02
10.07,-1.76,3.48,-0.08,0.02,-0.01
10.15,-1.76,3.5,-0.05,0.0,0.01
10.06,-1.9,3.51,-0.04,-0.02,0.01
10.07,-1.81,3.45,-0.05,-0.04,0.01
10.02,-1.84,3.44,-0.06,-0.01,0.0
10.12,-1.85,3.43,-0.09,-0.03,0.0
10.07,-1.9,3.5,-0.12,-0.01,-0.01
10.12,-1.79,3.46,-0.14,0.01,-0.03
10.0,-1.89,3.51,-0.16,0.02,-0.04
10.13,-1.68,3.62,-0.18,0.01,-0.03
10.01,-1.71,3.62,-0.17,0.0,-0.04
10.14,-1.7,3.76,-0.17,-0.0,-0.01
10.01,-1.7,3.61,-0.15,-0.05,-0.02
10.01,-1.68,3.6,-0.12,-0.03,-0.0
10.01,-1.77,3.62,-0.1,0.01,-0.01
10.11,-1.86,3.52,-0.11,-0.01,-0.01
10.04,-1.64,3.46,-0.06,-0.04,-0.0
10.09,-1.92,3.53,-0.07,0.03,0.0
10.19,-1.88,3.73,-0.05,-0.03,-0.03
9.94,-1.84,3.43,-0.1,-0.02,0.0
10.05,-1.72,3.47,-0.06,-0.03,-0.01
9.99,-1.96,3.5,-0.08,0.01,-0.0
10.1,-1.9,3.55,-0.1,-0.0,-0.03
10.04,-1.8,3.46,-0.11,0.03,-0.03
10.04,-1.8,3.46,-0.13,0.03,-0.03
10.16,-1.82,3.61,-0.13,0.05,-0.03
10.1,-1.81,3.77,-0.17,0.04,-0.05
10.06,-1.67,3.45,-0.19,0.02,-0.04
9.73,-1.63,3.52,-0.19,0.02,-0.05
9.99,-1.75,3.51,-0.21,0.1,-0.04
9.97,-2.13,3.23,-0.28,0.12,-0.05
10.95,-1.45,2.72,-0.25,-0.11,-0.03
9.83,-0.63,1.24,0.04,-0.2,0.05
10.16,-2.65,3.32,-0.06,0.18,0.02
10.15,-2.51,3.04,-0.34,0.11,-0.13
10.08,-1.57,2.57,-0.35,0.16,-0.31
9.88,-1.97,2.17,-0.44,0.26,-0.37
9.8,-1.83,1.97,-0.5,0.4,-0.39
9.52,-1.47,1.93,-0.49,0.45,-0.38
9.94,-1.57,2.26,-0.58,0.46,-0.33
9.73,-1.19,2.07,-0.56,0.51,-0.35
10.64,-0.82,2.57,-0.53,0.57,-0.25
12.84,-0.55,2.5,-0.59,0.51,0.13
11.54,0.05,2.87,-0.23,0.11,0.45
