Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.41,-0.89,-0.62,-0.13,-0.01,0.0
10.41,-0.91,-0.61,-0.12,-0.01,-0.01
10.4,-0.92,-0.59,-0.12,-0.0,-0.0
10.39,-0.94,-0.64,-0.13,-0.0,-0.01
10.39,-0.98,-0.57,-0.14,0.01,-0.0
10.42,-0.95,-0.61,-0.14,0.03,-0.01
10.46,-0.97,-0.65,-0.14,0.01,-0.01
10.37,-0.93,-0.68,-0.15,0.0,-0.01
10.39,-0.94,-0.77,-0.14,0.01,-0.01
10.35,-0.96,-0.69,-0.13,0.01,-0.01
10.44,-0.93,-0.63,-0.13,0.02,-0.01
10.43,-0.93,-0.57,-0.13,0.02,-0.01
10.44,-0.9,-0.57,-0.15,0.0,-0.0
10.43,-0.91,-0.62,-0.14,-0.0,-0.01
10.4,-0.86,-0.63,-0.13,0.01,-0.01
10.35,-0.92,-0.54,-0.13,-0.01,-0.01
10.49,-0.88,-0.61,-0.13,-0.0,-0.02
10.37,-0.88,-0.6,-0.13,0.02,-0.01
10.44,-0.9,-0.64,-0.13,0.01,-0.01
10.41,-0.85,-0.62,-0.12,0.01,-0.01
10.41,-0.9,-0.57,-0.1,0.02,-0.02
10.42,-0.9,-0.55,-0.12,0.01,-0.02
10.41,-0.91,-0.6,-0.13,0.01,-0.02
10.47,-0.86,-0.56,-0.12,0.02,-0.02
10.41,-0.98,-0.43,-0.12,0.03,-0.02
10.45,-0.91,-0.51,-0.1,0.01,-0.02
10.46,-0.89,-0.45,-0.12,0.04,-0.03
10.41,-0.91,-0.48,-0.13,0.03,-0.01
10.18,-1.02,-0.53,-0.14,0.04,-0.04
10.53,-0.84,-0.91,-0.13,0.11,-0.1
10.23,-0.5,-1.42,-0.1,0.04,-0.12
9.81,-0.44,-1.19,-0.1,0.15,-0.08
10.24,-0.16,-1.07,-0.14,0.29,-0.14
10.52,0.21,-0.7,-0.01,0.37,-0.16
10.25,0.11,0.52,0.06,0.35,-0.26
9.73,-1.4,0.7,-0.09,0.19,-0.29
12.63,-1.18,-0.28,-0.01,0.48,-0.19
10.18,-1.35,-1.74,-0.1,0.19,0.11
10.22,-1.41,-1.0,-0.13,0.65,0.16
9.34,-1.71,-0.57,-0.39,0.7,0.29
9.97,-2.21,-0.66,-0.71,0.61,0.32
9.84,-1.0,-0.23,-0.47,0.55,0.17
11.62,-2.4,-0.55,-0.25,0.16,-0.04
13.4,-3.73,-0.58,-0.47,-0.17,0.02
13.13,-2.81,0.67,-0.4,-0.44,0.04
11.05,0.38,3.62,0.04,0.45,-0.45
10.12,0.22,1.85,0.35,-0.11,-0.18
9.65,-0.7,1.1,0.24,-0.23,-0.44
7.45,0.69,0.94,0.19,-0.13,-0.38
8.94,0.18,0.74,0.18,0.21,-0.29
10.01,-0.74,0.41,-0.19,0.07,0.06
10.19,-0.06,-1.13,-0.45,0.01,0.13
12.06,0.97,-2.33,-0.11,0.16,0.16
12.52,-0.67,-1.44,0.27,-0.53,0.09
14.94,0.85,0.73,0.34,0.33,-0.77
6.85,0.55,7.51,-0.25,-0.99,0.01
13.2,0.23,2.48,-0.68,0.95,-0.27
11.14,-0.26,1.83,-0.64,-0.19,0.32
8.44,0.82,1.36,-0.29,0.3,0.45
7.14,-1.94,1.65,-0.3,0.62,0.5
9.28,-1.34,1.69,-0.19,0.85,0.12
11.27,-0.55,0.48,0.13,0.24,-0.02
10.05,-1.52,0.41,0.23,0.39,0.17
11.42,-2.34,-0.56,0.18,0.21,0.26
8.95,0.03,-1.17,0.42,0.17,-0.0
11.13,-2.05,4.67,0.56,0.45,0.05
12.49,1.42,4.0,0.73,1.66,-0.33
12.03,-1.96,6.96,-0.41,0.24,-0.45
11.21,-2.09,14.38,-1.35,1.9,-0.82
7.09,3.39,-8.2,-1.13,-0.7,-0.34
-2.82,1.66,-4.07,1.33,-0.57,-0.04
6.91,1.77,3.43,1.77,2.22,-0.37
8.98,-0.32,4.16,2.19,-0.42,0.41
-12.14,3.85,-0.12,0.64,3.11,-0.29
12.36,0.7,15.71,0.15,0.43,-0.57
11.38,2.57,6.56,1.49,1.95,-0.47
9.41,2.66,0.27,0.3,1.57,-0.08
12.42,3.06,-1.91,0.84,0.53,-1.05
16.05,-0.54,7.34,1.59,-1.19,-1.22
7.24,2.51,2.25,4.08,2.15,-1.21
4.62,-2.94,4.81,4.37,1.14,-0.07
9.74,17.42,1.73,2.69,0.03,2.02
5.37,12.16,0.31,4.37,-0.13,-0.49
2.27,14.2,0.75,2.73,-0.06,0.92
10.72,19.46,0.42,4.02,-0.11,-0.55
-3.97,2.86,5.11,-0.46,-0.88,-0.24
10.71,15.0,-2.4,0.45,-0.82,0.51
-0.79,7.22,-3.53,2.03,-0.05,-0.38
6.83,7.24,-1.18,0.56,-0.33,-0.25
2.75,9.91,-4.01,0.29,-0.23,-0.2
7.47,5.79,-3.24,0.28,-0.09,-0.1
6.79,6.47,-3.0,0.22,0.27,0.03
5.12,7.38,-3.92,0.19,-0.22,0.26
7.68,7.04,-2.22,0.25,0.1,0.33
5.56,6.43,-3.55,0.16,-0.03,0.24
7.65,5.76,-2.58,0.41,0.21,0.08
5.81,6.84,-4.14,0.26,-0.05,0.25
7.18,5.52,-3.49,0.35,0.09,0.2
6.15,6.35,-4.21,0.3,0.09,0.19
7.94,4.85,-3.38,0.31,0.11,0.15
7.55,5.07,-4.14,0.29,0.11,0.27
7.64,4.75,-3.69,0.4,0.15,0.17
8.08,4.98,-4.24,0.37,0.01,0.31
7.24,4.87,-4.21,0.29,-0.02,0.22
7.49,4.58,-4.04,0.14,0.17,0.12
7.54,4.44,-4.52,0.06,0.03,0.11
7.84,4.29,-4.45,-0.01,0.05,0.08
7.77,4.18,-4.28,-0.1,0.01,0.05
7.72,4.24,-4.3,-0.12,0.0,0.01
7.71,4.24,-4.23,-0.16,0.04,0.04
7.71,4.46,-4.49,-0.2,-0.01,-0.02
7.45,4.45,-4.36,-0.18,0.06,-0.08
7.97,4.47,-4.13,-0.16,0.01,-0.09
7.78,4.61,-4.01,-0.2,-0.04,-0.02
7.38,4.68,-4.31,-0.34,0.06,0.02
7.69,4.75,-4.17,-0.32,0.2,-0.01
7.42,4.35,-4.36,-0.5,0.24,0.01
7.91,4.58,-4.13,-0.61,0.39,0.02
