Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
8.49,-4.47,-3.49,0.67,-0.73,0.92
8.47,-4.53,-3.56,0.66,-0.73,0.93
8.44,-4.48,-3.47,0.66,-0.73,0.94
8.49,-4.51,-3.53,0.67,-0.73,0.93
8.46,-4.5,-3.51,0.67,-0.74,0.94
8.49,-4.5,-3.55,0.66,-0.74,0.93
8.43,-4.51,-3.51,0.66,-0.74,0.93
8.45,-4.47,-3.55,0.66,-0.75,0.93
8.44,-4.49,-3.57,0.66,-0.74,0.92
8.43,-4.46,-3.51,0.66,-0.73,0.92
8.49,-4.51,-3.56,0.66,-0.74,0.92
8.44,-4.46,-3.55,0.67,-0.74,0.92
8.46,-4.49,-3.57,0.67,-0.74,0.91
8.45,-4.5,-3.51,0.67,-0.74,0.91
8.48,-4.51,-3.56,0.67,-0.73,0.91
8.46,-4.49,-3.53,0.68,-0.74,0.91
8.46,-4.48,-3.58,0.68,-0.73,0.91
8.42,-4.53,-3.57,0.67,-0.74,0.92
8.43,-4.47,-3.56,0.66,-0.73,0.92
8.47,-4.47,-3.55,0.67,-0.73,0.92
8.45,-4.48,-3.63,0.67,-0.73,0.92
8.43,-4.53,-3.49,0.66,-0.73,0.93
8.42,-4.5,-3.56,0.66,-0.73,0.93
8.46,-4.48,-3.51,0.66,-0.73,0.93
8.47,-4.48,-3.55,0.67,-0.72,0.93
8.42,-4.52,-3.54,0.66,-0.73,0.93
8.43,-4.48,-3.51,0.66,-0.72,0.93
8.49,-4.46,-3.56,0.67,-0.72,0.92
8.43,-4.43,-3.46,0.67,-0.71,0.93
8.49,-4.5,-3.48,0.68,-0.7,0.92
8.5,-4.58,-3.44,0.67,-0.7,0.92
8.47,-4.53,-3.44,0.66,-0.7,0.92
8.39,-4.54,-3.46,0.66,-0.72,0.93
8.51,-4.57,-3.45,0.67,-0.72,0.92
8.45,-4.56,-3.39,0.66,-0.7,0.93
8.47,-4.55,-3.48,0.66,-0.72,0.93
8.48,-4.52,-3.42,0.66,-0.72,0.93
