Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.56,-0.65,1.91,-0.27,-0.02,-0.38
10.13,-0.72,1.66,-0.34,-0.01,-0.29
10.28,-0.93,1.52,-0.39,0.09,-0.17
10.3,-1.1,1.51,-0.37,0.1,-0.06
10.42,-0.86,1.78,-0.21,0.12,0.03
10.48,-0.85,1.41,-0.2,-0.0,0.04
10.4,-0.76,1.06,-0.05,0.04,0.11
10.76,-1.36,0.87,0.07,0.03,0.1
10.61,-1.36,0.6,0.01,-0.08,0.1
10.76,-1.51,-0.07,-0.01,-0.34,0.1
10.34,-1.49,-0.23,-0.06,-0.49,0.15
12.22,0.46,2.43,0.26,-0.26,-0.3
9.81,-1.24,1.57,0.28,-0.63,-0.33
10.64,-0.26,1.07,0.3,-0.21,-0.15
10.65,-1.11,1.1,0.33,-0.23,-0.04
10.07,-1.3,1.55,0.26,0.06,0.03
10.42,-1.87,1.23,-0.03,0.09,0.02
10.17,-1.06,1.32,-0.16,0.2,0.03
10.52,-0.99,1.04,-0.15,0.19,0.0
10.08,-0.89,1.08,-0.13,0.16,-0.06
10.46,-1.14,1.26,-0.15,0.23,-0.08
10.57,-0.92,1.15,-0.12,0.19,-0.06
10.44,-1.04,1.23,-0.11,0.19,-0.01
10.36,-1.08,1.13,-0.09,0.2,0.01
10.21,-1.18,1.01,-0.11,0.23,0.01
10.16,-1.02,1.27,-0.15,0.3,0.01
10.06,-1.36,1.49,-0.24,0.36,0.0
10.11,-1.44,1.23,-0.32,0.3,-0.02
10.95,-1.33,0.65,-0.27,0.23,0.06
10.92,-1.56,1.35,-0.24,0.31,0.17
10.02,-1.87,1.92,-0.27,0.56,0.19
9.5,-1.73,1.66,-0.19,0.48,0.12
9.44,-1.63,1.16,-0.2,0.5,0.17
9.72,-2.68,0.17,-0.21,0.41,0.16
11.38,-2.39,-0.99,-0.01,0.3,0.09
12.98,-3.53,-1.96,0.02,-0.0,0.36
8.99,-4.03,-1.53,-0.53,0.04,0.25
8.77,-1.99,8.75,-0.52,0.7,-0.67
15.84,1.93,2.36,-0.48,-0.46,0.54
18.21,-5.93,0.75,0.99,0.54,-0.66
14.23,0.82,-0.77,0.99,-0.85,-1.02
11.76,-0.93,1.33,0.5,-0.53,-0.47
2.04,-1.15,-0.54,0.41,-1.19,0.65
-2.9,4.39,3.22,0.82,-1.29,-0.27
16.12,-11.36,6.73,-1.21,1.2,1.29
19.34,1.66,0.51,-1.39,-1.75,0.16
11.9,-2.05,-1.25,0.18,0.59,1.04
11.37,-5.07,3.27,0.8,1.24,0.39
3.9,2.26,1.6,0.97,-1.7,-0.68
-2.62,-2.6,5.32,0.81,-0.91,-0.76
5.88,0.4,16.77,1.7,1.85,0.85
11.56,-5.64,5.59,1.11,-0.94,0.3
1.22,24.42,16.55,-1.3,-26.61,2.83
1.22,24.42,16.55,-1.3,-26.61,2.83
4.24,-1.62,-5.29,-0.41,-2.77,1.26
4.3,6.8,-0.56,3.77,2.12,0.79
10.58,-9.72,9.4,2.99,-0.26,-1.31
12.46,3.61,3.51,3.08,2.56,-1.43
7.77,7.47,14.69,3.39,2.9,-2.54
13.57,5.93,4.31,4.16,0.11,-2.35
13.02,4.77,11.13,4.22,-0.49,-2.75
5.14,14.58,13.56,2.21,0.71,-1.5
12.32,18.1,7.92,2.44,0.85,-2.43
0.86,-1.06,-4.44,0.99,0.7,-4.37
3.55,10.66,-1.7,0.69,-1.3,-2.51
-0.93,18.96,2.03,1.5,-0.74,-1.73
-2.99,16.55,-2.52,0.84,0.29,-0.6
-0.35,3.67,-2.82,1.24,1.13,0.49
-0.78,8.89,-4.88,0.77,-1.18,-0.54
1.25,7.93,-4.65,1.27,-0.39,-0.26
0.06,9.57,-2.34,0.75,-0.6,-0.28
1.8,8.39,-2.74,0.62,-0.47,-0.44
1.18,9.05,-3.23,0.39,-0.03,-0.32
2.05,8.27,-3.71,-0.04,0.08,-0.13
1.02,8.81,-3.41,-0.35,-0.09,0.02
0.71,8.42,-3.66,-0.74,-0.01,0.2
1.01,8.77,-3.37,-1.11,0.16,0.35
1.02,8.84,-2.55,-1.42,0.37,0.5
1.3,9.17,-1.98,-1.91,0.54,0.58
1.56,9.63,-1.35,-2.34,0.62,0.65
