Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
9.74,-3.63,2.11,-0.11,0.11,0.11
9.74,-3.4,1.96,-0.11,0.08,0.02
9.9,-3.56,2.13,-0.04,0.07,-0.13
9.45,-3.43,1.83,-0.05,-0.06,-0.08
9.19,-3.39,1.84,-0.06,-0.12,-0.18
9.39,-3.32,2.09,-0.09,-0.23,-0.29
10.27,-3.64,2.01,-0.17,-0.12,-0.01
10.63,-3.49,1.85,-0.23,-0.05,0.11
10.91,-4.0,2.08,-0.16,-0.03,-0.01
9.56,-3.06,1.84,-0.13,-0.04,-0.01
10.05,-3.42,1.91,-0.1,-0.06,-0.02
9.89,-3.32,1.81,-0.09,-0.09,-0.04
10.13,-3.23,1.46,-0.04,-0.11,-0.07
10.1,-3.11,1.46,0.07,-0.02,0.01
9.81,-3.66,1.81,0.1,0.01,0.0
9.96,-3.99,2.1,-0.03,-0.0,-0.05
9.82,-3.38,1.88,-0.15,-0.01,-0.03
10.03,-3.43,1.76,-0.13,0.01,-0.07
10.09,-3.41,1.79,-0.12,0.03,-0.04
10.03,-3.39,1.8,-0.16,0.01,-0.02
9.96,-3.34,1.7,-0.2,0.03,-0.01
9.88,-3.28,1.61,-0.19,0.04,-0.02
10.04,-3.35,1.69,-0.16,0.05,-0.02
9.99,-3.35,1.77,-0.15,0.04,-0.0
10.05,-3.32,1.76,-0.15,0.03,0.01
9.99,-3.28,1.65,-0.15,0.02,0.03
9.99,-3.2,1.67,-0.13,0.02,0.03
9.86,-3.36,1.78,-0.12,0.0,-0.02
10.04,-3.54,1.89,-0.13,0.01,-0.02
9.91,-3.57,1.87,-0.14,0.07,-0.01
9.76,-3.51,1.83,-0.19,0.05,-0.03
10.03,-3.41,1.89,-0.18,0.09,-0.06
10.12,-3.34,2.04,-0.15,0.09,-0.05
9.79,-3.38,1.86,-0.16,0.05,-0.04
10.07,-3.08,1.97,-0.11,0.07,-0.08
9.9,-3.13,1.89,-0.07,-0.02,-0.05
9.24,-3.29,2.23,-0.1,0.12,-0.06
9.27,-4.17,1.8,-0.26,0.34,-0.18
10.24,-4.45,1.51,-0.69,0.22,-0.23
10.57,-3.38,0.96,-0.79,0.04,-0.07
