Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.1,-0.49,3.68,-0.1,0.09,-0.07
10.31,0.21,3.37,0.05,0.27,-0.08
10.73,-0.1,1.81,0.25,0.11,0.01
9.85,0.04,2.77,0.37,0.02,0.07
9.87,0.02,2.62,0.47,0.35,0.05
10.26,-0.05,2.71,0.49,0.12,-0.02
9.9,-0.06,2.64,0.58,0.06,0.02
9.79,0.42,2.57,0.7,0.02,0.11
9.25,0.06,2.1,0.82,0.03,0.16
9.05,0.57,2.0,0.96,-0.18,0.2
7.87,0.09,1.99,0.91,-0.17,0.1
7.57,-0.32,2.83,0.75,0.01,-0.12
9.25,-0.03,2.36,0.65,0.26,-0.06
10.64,2.42,2.81,0.94,0.02,0.32
7.73,1.84,3.3,1.37,-0.59,0.6
8.71,-1.66,3.25,1.9,0.49,-0.52
5.07,2.15,9.46,1.21,-0.41,-0.93
7.65,-0.24,5.2,1.45,1.57,-0.87
9.27,3.26,7.58,1.59,0.62,-0.74
5.38,-0.53,-1.58,2.28,0.94,-0.36
33.45,7.77,16.19,-0.25,4.37,-2.03
14.55,0.88,4.31,1.09,-0.53,-2.01
3.59,3.47,2.2,0.83,4.37,-2.73
13.63,-1.13,3.79,1.26,2.69,-1.9
3.16,1.64,3.46,0.77,2.84,-1.61
1.19,7.62,7.37,3.2,1.89,-0.58
3.03,10.26,0.78,3.51,1.26,1.66
8.05,12.2,4.35,3.84,-1.5,3.02
0.49,16.0,-1.11,4.37,-2.69,3.9
19.89,37.65,-24.58,2.72,-4.37,-4.37
-4.18,-9.27,-6.33,1.72,-1.52,-1.9
-0.32,14.77,-7.0,3.59,-2.07,-1.39
-2.22,10.23,-6.63,1.85,-1.17,0.29
-0.73,0.58,-8.23,2.28,1.42,1.07
2.01,4.09,-6.87,2.28,-0.96,0.73
-4.49,2.41,-11.22,2.16,-0.54,0.78
1.8,0.27,-7.1,2.29,0.66,1.43
1.15,1.83,-12.6,2.49,-0.54,0.87
1.04,-4.0,-6.89,1.61,0.1,1.13
-0.0,-1.28,-8.58,0.38,0.11,0.33
1.28,-0.38,-10.5,0.98,0.03,0.22
0.84,-1.03,-9.81,1.31,0.37,0.0
2.63,-2.85,-8.78,0.46,0.46,0.11
1.37,-2.14,-8.8,0.6,0.2,0.04
3.3,-5.03,-7.66,0.45,0.61,0.06
1.69,-3.11,-8.28,0.29,-0.16,-0.05
3.62,-5.21,-7.21,-0.01,0.18,0.16
0.91,-3.05,-8.48,-0.0,-0.23,-0.16
2.87,-3.67,-8.1,-0.37,-0.06,0.24
1.11,-3.35,-9.13,-0.42,-0.25,-0.06
6.9,-5.6,-6.73,-0.4,0.4,0.15
1.07,-0.23,-8.23,-1.1,-1.46,-0.16
0.24,-1.45,-11.03,-0.28,0.24,-0.21
2.58,-1.41,-8.63,0.19,0.03,0.1
2.34,-2.37,-8.49,-0.25,-0.05,-0.16
1.03,-3.04,-9.03,-0.37,-0.02,0.01
1.48,-1.98,-9.03,-0.11,0.24,0.01
2.29,-1.86,-9.14,-0.05,0.03,-0.07
2.41,-2.63,-8.68,-0.03,0.1,-0.06
1.9,-2.85,-8.76,-0.1,-0.05,-0.01
