epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,323.635,0.68899,0.56396,1.19449,0.95293,0.93675,0.97106,0.80884,0.68537,0.40291,1.30298,0.00333182,0.00333182,0.00333182
2,639.059,0.73111,0.62409,1.21795,0.94767,0.92334,0.96366,0.78331,0.74198,0.45817,1.35161,0.00659917,0.00659917,0.00659917
3,951.734,0.80309,0.72971,1.26903,0.92211,0.90499,0.94937,0.74333,0.83931,0.53381,1.45473,0.00980052,0.00980052,0.00980052
4,1262.97,0.87328,0.84041,1.32132,0.91543,0.88696,0.93973,0.72989,0.84328,0.57871,1.45085,0.009703,0.009703,0.009703
5,1581.33,0.87381,0.84505,1.32126,0.91714,0.88784,0.94287,0.73651,0.84442,0.5666,1.45416,0.009604,0.009604,0.009604
6,1897.61,0.87106,0.83737,1.31968,0.91255,0.89869,0.9455,0.73596,0.84774,0.56266,1.46462,0.009505,0.009505,0.009505
7,2213.3,0.86954,0.8375,1.3189,0.91448,0.90221,0.94864,0.74638,0.82588,0.54249,1.44179,0.009406,0.009406,0.009406
8,2530.7,0.86438,0.82665,1.31273,0.91819,0.90615,0.95029,0.75142,0.80486,0.53127,1.42554,0.009307,0.009307,0.009307
9,2847.32,0.8578,0.81851,1.30864,0.93239,0.90813,0.95422,0.75791,0.80171,0.51116,1.41854,0.009208,0.009208,0.009208
10,3164.25,0.85244,0.80594,1.30487,0.93097,0.90878,0.95506,0.76502,0.77922,0.50375,1.40294,0.009109,0.009109,0.009109
11,3482.39,0.8566,0.80056,1.30535,0.93553,0.91391,0.95802,0.77222,0.76858,0.48654,1.38659,0.00901,0.00901,0.00901
12,3796.23,0.84122,0.79399,1.29507,0.93367,0.91132,0.9576,0.77256,0.75493,0.48639,1.37859,0.008911,0.008911,0.008911
13,4106.91,0.83975,0.7888,1.29725,0.93276,0.91641,0.95869,0.7759,0.7581,0.47804,1.37583,0.008812,0.008812,0.008812
14,4417.65,0.84193,0.7885,1.29902,0.93774,0.91766,0.96047,0.77934,0.7486,0.46431,1.36906,0.008713,0.008713,0.008713
15,4725.18,0.83605,0.77778,1.29365,0.93581,0.92295,0.96159,0.78156,0.74636,0.45951,1.37156,0.008614,0.008614,0.008614
16,5036.93,0.83261,0.77266,1.29134,0.93865,0.9243,0.96221,0.78533,0.73763,0.45347,1.35899,0.008515,0.008515,0.008515
17,5342.82,0.82314,0.76118,1.28431,0.94186,0.92437,0.96276,0.78768,0.73551,0.44804,1.36033,0.008416,0.008416,0.008416
18,5649.06,0.82931,0.76497,1.28742,0.94455,0.92101,0.96363,0.79208,0.72293,0.44252,1.34642,0.008317,0.008317,0.008317
19,5955.44,0.82273,0.75827,1.28208,0.94312,0.92538,0.96535,0.79505,0.72213,0.43453,1.34277,0.008218,0.008218,0.008218
20,6263.39,0.81925,0.74849,1.28026,0.9437,0.92711,0.96581,0.79613,0.71468,0.43233,1.3359,0.008119,0.008119,0.008119
21,6570.78,0.82139,0.75572,1.2829,0.94238,0.93257,0.96707,0.7983,0.70906,0.42683,1.33267,0.00802,0.00802,0.00802
22,6875.53,0.81197,0.7411,1.27482,0.94308,0.92895,0.96747,0.8004,0.70536,0.42437,1.32943,0.007921,0.007921,0.007921
23,7178.63,0.8206,0.74146,1.27787,0.94362,0.93022,0.96814,0.80246,0.70271,0.42145,1.32652,0.007822,0.007822,0.007822
24,7485.52,0.80833,0.73445,1.27032,0.94053,0.93305,0.9683,0.80312,0.70098,0.41909,1.32562,0.007723,0.007723,0.007723
25,7790.7,0.80679,0.73151,1.27061,0.94173,0.93292,0.96812,0.80333,0.6974,0.41789,1.32285,0.007624,0.007624,0.007624
26,8098.03,0.80993,0.73276,1.27434,0.94625,0.93165,0.96821,0.80483,0.69489,0.41397,1.32041,0.007525,0.007525,0.007525
27,8404.13,0.79751,0.71924,1.26461,0.94476,0.93479,0.96872,0.80628,0.69209,0.41075,1.31803,0.007426,0.007426,0.007426
28,8709.39,0.79975,0.72349,1.26665,0.94237,0.93711,0.96913,0.80688,0.69048,0.40866,1.31664,0.007327,0.007327,0.007327
29,9014.61,0.7987,0.71861,1.26368,0.94516,0.93613,0.96969,0.80765,0.68866,0.40741,1.31494,0.007228,0.007228,0.007228
30,9320.39,0.79685,0.71251,1.26199,0.94645,0.93536,0.96984,0.80825,0.68776,0.40655,1.31378,0.007129,0.007129,0.007129
31,9627.43,0.79351,0.71087,1.25974,0.9457,0.93631,0.96988,0.80889,0.68595,0.40545,1.3123,0.00703,0.00703,0.00703
32,9935.25,0.78952,0.7053,1.25705,0.94657,0.93664,0.97013,0.80989,0.68433,0.40395,1.31041,0.006931,0.006931,0.006931
33,10243.8,0.78527,0.70226,1.25533,0.94681,0.9367,0.97021,0.81067,0.68289,0.40266,1.30924,0.006832,0.006832,0.006832
34,10552.9,0.78771,0.70477,1.25559,0.94743,0.9358,0.97031,0.81152,0.68152,0.40175,1.30805,0.006733,0.006733,0.006733
35,10860.9,0.78541,0.69908,1.25289,0.94711,0.93604,0.97025,0.81208,0.68045,0.40042,1.30691,0.006634,0.006634,0.006634
36,11172.8,0.78788,0.6952,1.25399,0.94753,0.93552,0.97031,0.81266,0.67917,0.39936,1.30577,0.006535,0.006535,0.006535
37,11484.2,0.78166,0.69409,1.25243,0.94693,0.93611,0.97035,0.8129,0.67831,0.39833,1.30493,0.006436,0.006436,0.006436
38,11788.8,0.77873,0.69184,1.24859,0.94724,0.93721,0.97054,0.81303,0.67745,0.3975,1.30396,0.006337,0.006337,0.006337
39,12096.6,0.77756,0.68478,1.24592,0.94815,0.93613,0.9704,0.81326,0.67668,0.39657,1.30304,0.006238,0.006238,0.006238
40,12403,0.77066,0.68181,1.24499,0.94771,0.93718,0.97045,0.81375,0.67554,0.39542,1.30186,0.006139,0.006139,0.006139
41,12716,0.77216,0.6774,1.24673,0.94734,0.93796,0.97035,0.81373,0.67451,0.39449,1.30085,0.00604,0.00604,0.00604
42,13030.8,0.76895,0.67308,1.24069,0.94838,0.93805,0.97054,0.81464,0.67372,0.39325,1.29985,0.005941,0.005941,0.005941
43,13352.5,0.76729,0.66916,1.24017,0.94763,0.93865,0.97075,0.81489,0.67266,0.39248,1.29879,0.005842,0.005842,0.005842
44,13664.9,0.75969,0.66276,1.23398,0.94775,0.93794,0.97092,0.81552,0.67198,0.39164,1.29829,0.005743,0.005743,0.005743
45,13973,0.76099,0.66519,1.23585,0.94816,0.93827,0.97091,0.81584,0.67095,0.39104,1.29731,0.005644,0.005644,0.005644
46,14282.4,0.76222,0.66831,1.23577,0.94923,0.93788,0.97101,0.8166,0.66973,0.39018,1.296,0.005545,0.005545,0.005545
47,14590.4,0.75734,0.65651,1.2346,0.95056,0.93725,0.97114,0.81712,0.66881,0.3893,1.29493,0.005446,0.005446,0.005446
48,14899.3,0.74741,0.64863,1.22852,0.95055,0.93879,0.97129,0.81765,0.66794,0.38827,1.29395,0.005347,0.005347,0.005347
49,15207.4,0.75753,0.65409,1.23416,0.95007,0.93953,0.97145,0.81827,0.66692,0.38724,1.29269,0.005248,0.005248,0.005248
50,15515.9,0.75403,0.65761,1.23193,0.95039,0.93908,0.9717,0.8189,0.66576,0.38609,1.29137,0.005149,0.005149,0.005149
51,15824.7,0.75407,0.65174,1.23028,0.95143,0.9394,0.97183,0.81928,0.66485,0.38474,1.29034,0.00505,0.00505,0.00505
52,16136.8,0.75084,0.64714,1.22753,0.95261,0.93914,0.97187,0.81986,0.66362,0.38388,1.28893,0.004951,0.004951,0.004951
53,16449.6,0.74697,0.63924,1.226,0.95319,0.93939,0.97209,0.82025,0.66271,0.38317,1.2879,0.004852,0.004852,0.004852
54,16762.9,0.74594,0.63514,1.2245,0.95219,0.94015,0.9723,0.82092,0.66156,0.38194,1.28679,0.004753,0.004753,0.004753
